Corporate Name,Supervising Authority,Designation Type,Industry,Ghge,Energy,Verification
제이셋스태츠칩팩코리아(유),기후에너지환경부,사업장,반도체 제조업,100223,2090,(주)신화엔지니어링종합건축사사무소
제이아이금속(주),산업통상자원부,사업장,비철금속,19157,311,(주)한국경영인증원
제주신화월드 주식회사,기후에너지환경부,사업장,일반 및 생활 숙박시설 운영업,44436,882,(주)한국경영인증원
제주특별자치도,기후에너지환경부,업체,폐기물 처리업,354623,3359,한국표준협회
제주특별자치도개발공사,기후에너지환경부,사업장,비알코올 음료 및 얼음 제조업,32721,664,한국표준협회
제주항공(주),기후에너지환경부,업체,항공 여객 운송업,228618,3278,(재)한국화학융합시험연구원
제천시,기후에너지환경부,사업장,"하수, 폐수 및 분뇨 처리업",45322,354,(재)한국품질재단
조선내화(주),산업통상자원부,사업장,요업,18507,353,(재)한국품질재단
조일알미늄 주식회사,기후에너지환경부,사업장,1차 비철금속 제조업,84268,1706,(재)한국품질재단
존슨일렉트릭오퍼레이션스(주),산업통상자원부,사업장,자동차,16579,328,한국표준협회
주성엔지니어링(주),산업통상자원부,사업장,기계,19662,406,㈜디엔브이비즈니스어슈어런스코리아
주식회사 GS구미열병합발전,기후에너지환경부,업체,"증기, 냉ㆍ온수 및 공기 조절 공급업",1074616,12266,(재)한국품질재단
주식회사 GS반월열병합발전,기후에너지환경부,업체,"증기, 냉ㆍ온수 및 공기 조절 공급업",879990,10283,(재)한국품질재단
주식회사 경방,국토교통부,사업장,건물,18122,375,한국생산성본부인증원(주)
주식회사 고려제지,기후에너지환경부,업체,"펄프, 종이 및 판지 제조업",149257,3748,(주)한국경영인증원
주식회사 광주글로벌모터스,산업통상자원부,사업장,자동차,19065,388,(주)한국경영인증원
주식회사 구미그린,기후에너지환경부,사업장,폐기물 처리업,56938,31,한국표준협회
주식회사 국민은행,국토교통부,업체,건물,92871,1494,한국표준협회
주식회사 그린바이로,기후에너지환경부,사업장,폐기물 처리업,75079,17,한국표준협회
주식회사 그린밸리,기후에너지환경부,사업장,폐기물 처리업,35571,33,㈜한국품질보증원
주식회사 남성버스,국토교통부,사업장,교통(여객),15804,297,(주)한국경영인증원
주식회사 네패스 라웨,산업통상자원부,사업장,반도체,6237,129,(주)한국경영인증원
주식회사 녹수,산업통상자원부,사업장,석유화학,28682,581,로이드인증원㈜
주식회사 농심,기후에너지환경부,업체,기타 식품 제조업,189047,3771,한국표준협회
주식회사 뉴그린,기후에너지환경부,업체,폐기물 처리업,104518,242,(주)한국경영인증원
주식회사 대륜발전,기후에너지환경부,업체,"증기, 냉ㆍ온수 및 공기 조절 공급업",658637,13051,한국표준협회
주식회사 대전신세계,국토교통부,사업장,건물,21912,454,(주)한국경영인증원
주식회사 대창,기후에너지환경부,사업장,1차 비철금속 제조업,30155,617,한국가스안전공사
주식회사 대한세라믹스,기후에너지환경부,사업장,"내화, 비내화 요업제품 제조업",33095,601,(주)한국경영인증원
주식회사 대호에이엘,기후에너지환경부,사업장,1차 비철금속 제조업,26366,529,(주)한국경영인증원
주식회사 더블유티씨서울,기후에너지환경부,사업장,부동산 임대 및 공급업,58002,1195,(주)한국경영인증원
주식회사 덕양에너젠,기후에너지환경부,업체,기초 화학물질 제조업,32041,662,지속가능인증원주식회사
주식회사 동부고속,국토교통부,사업장,교통(여객),21853,321,(주)한국경영인증원
주식회사 동성케미컬,기후에너지환경부,사업장,기초 화학물질 제조업,27046,535,한국생산성본부인증원(주)
주식회사 동아,산업통상자원부,사업장,기계,17198,356,한국표준협회
주식회사 디비메탈,기후에너지환경부,업체,1차 철강 제조업,180424,2130,(재)한국품질재단
주식회사 디비하이텍 ,기후에너지환경부,업체,반도체 제조업,278302,4069,(주)비에스아이그룹코리아
주식회사 디앤오,국토교통부,사업장,건물,16937,346,(재)한국품질재단
주식회사 디에스단석,기후에너지환경부,사업장,1차 비철금속 제조업,86023,1599,한국표준협회
주식회사 디엔 오토모티브,산업통상자원부,사업장,전기전자,21476,447,한국표준협회
주식회사 메타즈,산업통상자원부,사업장,기계,9327,192,㈜한국품질보증원
주식회사 명성,기후에너지환경부,사업장,육상 여객 운송업,23450,406,(주)한국경영인증원
주식회사 명성환경,기후에너지환경부,사업장,폐기물 처리업,38,116,(주)한국경영인증원
주식회사 무주덕유산리조트,국토교통부,사업장,건물,17943,331,(주)한국경영인증원
주식회사 문화방송,국토교통부,사업장,건물,15957,349,지속가능인증원주식회사
주식회사 범우,기후에너지환경부,사업장,폐기물 처리업,95337,76,한국표준협회
주식회사 베어링아트,기후에너지환경부,사업장,자동차 신품 부품 제조업,62874,1298,한국표준협회
주식회사 삼기,기후에너지환경부,사업장,자동차 신품 부품 제조업,63431,1211,(주)한국경영인증원
주식회사 삼보광업,기후에너지환경부,업체,"시멘트, 석회, 플라스터 및 그 외 제품 제조업",166725,382,한국생산성본부인증원(주)
주식회사 삼양사,기후에너지환경부,업체,"곡물 가공품, 전분 및 전분제품 제조업",264263,6241,한국표준협회
주식회사 삼양패키징,기후에너지환경부,업체,플라스틱 제품 제조업,134673,2919,한국표준협회
주식회사 삼영 ,기후에너지환경부,사업장,플라스틱 제품 제조업,32488,667,한국표준협회
주식회사 서부티엔디,국토교통부,사업장,건물,22314,459,(주)한국경영인증원
주식회사 서원환경,기후에너지환경부,사업장,폐기물 처리업,31301,2,한국표준협회
주식회사 세아베스틸,기후에너지환경부,업체,1차 철강 제조업,1155808,18418,한국표준협회
